URL,File Size/Bytes,Number of Links Found,Content-Type 
https://www.nytimes.com/2021/02/17/us/texas-electric-grid-failure.html,377356,60,text/html
https://www.nytimes.com/2021/02/16/health/covid-children-inflammatory-syndrome.html,423546,60,text/html
https://www.nytimes.com/interactive/2020/12/16/books/review/best-sellers-promo-for-front-copy2.html,60906,12,text/html
https://www.nytimes.com/section/world,823455,115,text/html
https://www.nytimes.com/video/opinion,1048576,104,text/html
https://www.nytimes.com/interactive/2021/books/new-books-international.html,270621,120,text/html
https://www.nytimes.com/es/2021/02/04/espanol/vacuna-eficacia-efectividad.html,319825,61,text/html
https://www.nytimes.com/2021/02/09/books/review-good-girls-ordinary-killing-sonia-faleiro.html,299631,51,text/html
https://www.nytimes.com/2021/02/18/books/review/concrete-rose-angie-thomas.html,237441,48,text/html
https://www.nytimes.com/2021/02/18/us/how-to-help-storm-relief-texas-oklahoma-louisiana.html,340387,82,text/html
https://www.nytimes.com/es/section/opinion,357451,67,text/html
https://www.nytimes.com/video/us/100000007613298/texas-winter-snow-storm-grocery-store-lines.html,1048576,105,text/html
https://www.nytimes.com/2021/02/18/books/review/when-harry-met-minnie-martha-teichner.html,256856,42,text/html
https://www.nytimes.com/2021/02/18/arts/design/grief-and-grievance-new-museum.html,452154,48,text/html
https://www.nytimes.com/video/2020-Elections,1048576,104,text/html
https://www.nytimes.com/es/2021/02/16/espanol/regreso-a-clases-pandemia.html,297669,44,text/html
https://www.nytimes.com/2021/02/18/us/W-McCall-Calhoun-Jr-georgia-capitol-riot.html,373486,60,text/html
https://www.nytimes.com/2021/02/08/books/review-frederick-seidel-selected-poems.html,329221,50,text/html
https://www.nytimes.com/section/t-magazine,620146,124,text/html
https://www.nytimes.com/2021/02/18/us/south-dakota-attorney-general-accident-charged.html,282252,44,text/html
https://www.nytimes.com/video/how-we-got-here,503889,64,text/html
https://www.nytimes.com/2021/02/17/technology/personaltech/buy-real-n95-mask.html,393177,61,text/html
https://www.nytimes.com/by/parul-sehgal,277859,55,text/html
https://www.nytimes.com/2021/02/18/opinion/sway-kara-swisher-carmen-twillie-ambar.html,956599,68,text/html
https://www.nytimes.com/2021/01/26/opinion/ezra-klein-podcast-vivek-murthy.html?action=click&module=audio-series-bar&region=header&pgtype=Article,1048576,57,text/html
https://www.nytimes.com/es/2021/02/17/espanol/Paul-Rusesabagina-ruanda.html,382142,59,text/html
https://www.nytimes.com/2021/02/15/books/review/bill-gates-how-to-avoid-a-climate-disaster.html,280953,48,text/html
https://www.nytimes.com/2021/02/14/obituaries/carlos-saul-menem-dead.html,328345,49,text/html
https://www.nytimes.com/section/sports,670440,112,text/html
https://www.nytimes.com/section/travel,632610,99,text/html
