URL,Status
https://www.foxnews.com/,200
https://www.foxnews.com/category/us/personal-freedoms,200
https://www.foxnews.com/us/minnesota-security-murder-trial-derek-chauvin-george-floyd,200
https://www.foxnews.com/privacy-policy,200
https://www.foxnews.com/category/science/air-and-space,200
https://www.foxnews.com/health,200
https://www.foxnews.com/lifestyle/woman-hair-gorilla-glue-new-look,200
https://www.foxnews.com/us/oakland-store-owner-arrested-after-firing-shots-to-thwart-robbery-report,200
https://www.foxnews.com/lifestyle/girl-scouts-cookie-sneakers-k-swiss,200
https://www.foxnews.com/politics/ted-cruz-wife-heidi-invited-neighbors-join-cancun-trip-in-leaked-texts-report,200
https://www.foxnews.com/shows/fox-nation,200
https://www.foxnews.com/great-outdoors/florida-vet-team-removes-sneaker-crocodile-stomach,200
https://www.foxnews.com/category/us/us-regions/midwest/minnesota,200
https://www.foxnews.com/world/israel-netanyahu-rush-limbaugh,200
https://www.foxnews.com/sports/sports-world-reacts-carson-wentz-trade-colts-doesnt-work-here-wont-work-anywhere,200
https://www.foxnews.com/category/world/terrorism,200
https://www.foxnews.com/category/us/personal-freedoms/second-amendment,200
https://www.foxnews.com/category/us/education,200
https://www.foxnews.com/world/coronavirus-pandemic-forces-ash-wednesday-changes-worldwide,200
https://www.foxnews.com/lifestyle/louis-vuittons-luxury-mobile-shop,200
https://www.foxnews.com/category/us/crime/police-and-law-enforcement,200
https://www.foxnews.com/us/major-winter-storm-slams-eastern-us-power-outages-texas-southern-states,200
https://www.foxnews.com/category/science/planet-earth,200
https://www.foxnews.com/health/when-to-avoid-double-masking-coronavirus-cdc,200
https://www.foxnews.com/category/opinion,200
https://www.foxnews.com/category/science/archaeology,200
https://www.foxnews.com/media/laura-ingraham-biden-democrats-immigration-reform-bill,200
https://www.foxnews.com/politics/small-contingent-of-forces-to-remain-at-us-capitol,200
https://www.foxnews.com/category/news-events/fox-news-investigates,200
https://www.foxnews.com/apps-products?pid=AppArticleLink,200
https://www.foxnews.com/media/rush-limbaugh-scholarship-fallen-police-military-families,200
https://www.foxnews.com/category/us/us-regions/southeast/north-carolina,200
https://www.foxnews.com/category/science/natural-science,200
https://www.foxnews.com/category/health/mental-health,200
